Date,Open,High,Low,Close,Adj Close,Volume
10 Nov 2025,315.00,319.56,314.21,316.89,312.45,5794100
07 Nov 2025,311.89,314.43,307.64,314.21,309.81,7302300
06 Nov 2025,310.99,314.84,310.26,313.42,309.03,7206100
05 Nov 2025,309.61,313.10,305.63,311.68,307.32,6865200
04 Nov 2025,306.71,312.22,305.10,309.25,304.92,7085200
03 Nov 2025,311.00,312.32,306.21,309.35,305.02,7770000
31 Oct 2025,308.54,312.87,307.25,311.12,306.76,7721300
30 Oct 2025,305.79,312.61,305.10,309.44,305.11,7514600
29 Oct 2025,303.51,308.25,303.01,305.51,301.23,7520300
28 Oct 2025,304.86,307.97,303.16,305.36,301.08,6336000
27 Oct 2025,302.16,304.53,301.01,304.15,299.89,5642200
24 Oct 2025,296.08,302.60,295.45,300.44,296.23,7228300
23 Oct 2025,294.38,296.37,292.51,294.54,290.42,5438800
22 Oct 2025,297.77,298.06,290.54,294.11,289.99,8054100
21 Oct 2025,301.66,304.05,297.00,297.09,292.93,7372700
20 Oct 2025,298.50,303.69,298.16,302.36,298.13,6894900
17 Oct 2025,299.16,299.55,294.20,297.56,293.39,10153500
16 Oct 2025,305.35,308.68,297.07,298.54,294.36,10549400
15 Oct 2025,306.39,312.12,305.44,305.69,301.41,11354800
14 Oct 2025,305.84,307.00,294.21,302.08,297.85,16178800
13 Oct 2025,305.60,309.46,305.45,307.97,303.66,10788700
10 Oct 2025,305.66,310.47,300.81,300.89,296.68,8597400
09 Oct 2025,305.05,308.04,303.39,305.53,301.25,7060300
08 Oct 2025,308.21,308.78,303.55,304.03,299.77,6489900
07 Oct 2025,309.35,310.01,304.70,307.69,303.38,8454200
06 Oct 2025,310.18,311.75,305.13,309.18,304.85,7214500
03 Oct 2025,308.51,311.66,308.21,310.03,304.21,6029900
02 Oct 2025,310.00,310.56,306.14,307.55,301.78,7600000
01 Oct 2025,313.97,314.59,307.41,310.71,304.88,9235200
30 Sep 2025,316.25,317.41,310.11,315.43,309.51,11823300
29 Sep 2025,317.06,318.01,313.66,315.69,309.76,6462400
26 Sep 2025,314.90,317.81,313.70,316.06,310.13,7258100
25 Sep 2025,314.12,315.65,311.80,313.45,307.57,7083200
24 Sep 2025,314.05,316.58,311.67,313.42,307.54,7310500
23 Sep 2025,311.82,316.31,310.58,312.74,306.87,8584400
22 Sep 2025,309.80,313.70,309.56,312.44,306.58,7520200
19 Sep 2025,313.60,315.80,309.12,314.78,308.87,23568600
18 Sep 2025,311.79,313.44,309.61,313.23,307.35,8050700
17 Sep 2025,310.39,312.91,308.77,311.75,305.90,8657800
16 Sep 2025,310.00,310.90,307.13,309.19,303.39,10525600
15 Sep 2025,307.17,309.95,307.17,308.90,303.10,7122000
12 Sep 2025,305.00,307.55,303.70,306.91,301.15,6846700
11 Sep 2025,301.24,305.73,300.79,305.56,299.82,7942500
10 Sep 2025,296.70,301.54,295.40,300.54,294.90,7787300
09 Sep 2025,292.60,299.00,292.31,297.85,292.26,7848200
08 Sep 2025,294.89,296.46,291.44,292.91,287.41,8188500
05 Sep 2025,303.65,305.15,294.31,294.38,288.85,9837700
04 Sep 2025,300.00,304.43,298.28,303.82,298.12,6605800
03 Sep 2025,300.57,300.57,296.38,299.51,293.89,6316900
02 Sep 2025,300.26,300.46,294.50,299.70,294.07,7221900
29 Aug 2025,302.04,302.95,299.73,301.42,295.76,6796400
28 Aug 2025,300.02,301.24,298.70,301.07,295.42,6410500
27 Aug 2025,297.25,301.07,297.04,299.28,293.66,6056500
26 Aug 2025,294.16,298.74,293.50,298.57,292.97,6714700
25 Aug 2025,296.24,297.35,294.14,294.90,289.36,5856300
22 Aug 2025,293.20,297.16,290.13,296.24,290.68,8552800
21 Aug 2025,291.94,292.77,289.47,291.47,286.00,6624000
20 Aug 2025,290.81,293.33,287.27,292.24,286.75,7374200
19 Aug 2025,290.83,292.48,289.53,290.66,285.20,6031500
18 Aug 2025,290.00,291.90,288.41,291.53,286.06,5386900
15 Aug 2025,294.84,295.50,289.82,290.49,285.04,7340500
14 Aug 2025,290.58,294.20,289.64,294.16,288.64,6322400
13 Aug 2025,293.95,294.55,287.16,290.53,285.08,8420400
12 Aug 2025,291.50,294.75,290.34,292.85,287.35,8570900
11 Aug 2025,289.40,291.32,288.78,289.56,284.12,5510100
08 Aug 2025,288.98,291.23,284.71,288.76,283.34,6634100
07 Aug 2025,292.94,293.46,286.41,286.94,281.55,8057100
06 Aug 2025,292.30,293.29,290.16,291.35,285.88,6330200
05 Aug 2025,294.69,295.79,287.24,291.37,285.90,7182300
04 Aug 2025,290.26,294.32,290.26,294.26,288.74,6649500
01 Aug 2025,290.40,291.80,284.24,289.37,283.94,12007100
31 Jul 2025,299.14,300.98,295.50,296.24,290.68,14749700
30 Jul 2025,297.42,300.61,297.38,299.63,294.01,8061700
29 Jul 2025,300.00,301.29,296.20,297.04,291.46,7635700
28 Jul 2025,297.66,299.43,296.82,298.28,292.68,5840400
25 Jul 2025,296.70,298.90,295.96,298.62,293.01,5918500
24 Jul 2025,297.42,299.59,296.20,296.55,290.98,7001200
23 Jul 2025,292.84,296.99,292.55,296.76,291.19,7083500
22 Jul 2025,291.50,293.63,289.18,291.43,285.96,6717500
21 Jul 2025,291.00,294.18,290.58,290.97,285.51,7898100
18 Jul 2025,289.52,292.50,288.23,291.27,285.80,12217000
17 Jul 2025,283.44,290.30,283.44,289.90,284.46,8509500
16 Jul 2025,288.40,290.73,283.01,285.82,280.45,9979800
15 Jul 2025,288.00,291.95,285.48,286.55,281.17,12526100
14 Jul 2025,287.07,289.30,285.26,288.70,283.28,9079900
11 Jul 2025,285.52,287.38,283.65,286.86,281.48,7384700
10 Jul 2025,283.00,288.31,283.00,288.19,282.78,8410900
09 Jul 2025,287.18,287.20,282.48,283.16,277.84,11273800
08 Jul 2025,289.27,289.70,280.31,282.78,277.47,15440900
07 Jul 2025,295.25,296.04,290.08,291.97,286.49,8825700
03 Jul 2025,292.15,296.40,291.21,296.00,290.44,6541600
02 Jul 2025,292.04,292.82,289.70,292.00,285.14,8158700
01 Jul 2025,290.89,291.13,286.59,290.41,283.59,9338300
30 Jun 2025,290.40,292.65,288.92,289.91,283.10,12689200
27 Jun 2025,285.81,288.70,285.04,287.11,280.37,17868600
26 Jun 2025,284.70,289.41,284.47,288.75,281.97,8942100
25 Jun 2025,281.50,284.28,280.91,284.06,277.39,6826900
24 Jun 2025,280.21,282.71,279.51,281.26,274.66,9267900
23 Jun 2025,275.06,278.55,272.11,278.27,271.74,8094600
20 Jun 2025,275.57,277.30,273.81,275.00,268.54,13969700
18 Jun 2025,270.00,277.72,269.72,273.96,267.53,9586400
17 Jun 2025,268.17,270.59,267.80,269.52,263.19,6739300
16 Jun 2025,267.00,271.73,266.85,270.36,264.01,8566000
13 Jun 2025,265.08,267.02,262.71,264.95,258.73,7098300
12 Jun 2025,266.86,268.29,265.14,268.24,261.94,6618000
11 Jun 2025,268.68,269.62,265.79,268.15,261.85,7434100
10 Jun 2025,265.88,268.90,265.85,268.60,262.29,7538100
09 Jun 2025,266.00,267.90,263.35,266.74,260.48,8285000
06 Jun 2025,264.33,266.65,264.26,265.73,259.49,7738100
05 Jun 2025,264.74,264.74,260.31,261.95,255.80,8173800
04 Jun 2025,265.92,267.12,264.18,264.22,258.02,5915700
03 Jun 2025,263.73,266.58,262.88,266.27,260.02,6998400
02 Jun 2025,263.02,265.03,261.90,264.66,258.45,6011200
30 May 2025,263.45,265.33,262.73,264.00,257.80,10977700
29 May 2025,264.80,265.41,262.53,264.37,258.16,5081200
28 May 2025,266.24,266.72,262.90,263.49,257.30,5535400
27 May 2025,262.04,265.30,261.99,265.29,259.06,7506600
23 May 2025,256.81,261.99,256.00,260.71,254.59,6671800
22 May 2025,259.44,262.30,258.87,260.67,254.55,6514100
21 May 2025,264.35,265.65,260.73,261.04,254.91,7464000
20 May 2025,262.52,266.66,262.30,265.68,259.44,8436300
19 May 2025,265.55,268.32,261.93,264.88,258.66,12145000
16 May 2025,267.50,268.46,264.71,267.56,261.28,8932900
15 May 2025,266.97,269.52,264.76,267.49,261.21,9214600
14 May 2025,263.00,266.64,262.29,265.64,259.40,8643100
13 May 2025,261.03,263.67,260.39,263.01,256.84,8589000
12 May 2025,262.90,263.60,258.70,260.05,253.95,9603900
09 May 2025,254.50,255.51,252.34,253.08,247.14,5087600
08 May 2025,251.57,255.88,251.55,253.47,247.52,8320100
07 May 2025,249.85,252.45,248.83,249.39,243.54,8724100
06 May 2025,250.00,252.65,249.00,249.25,243.40,6369900
05 May 2025,251.18,255.16,250.59,252.56,246.63,5450700
02 May 2025,251.26,253.62,249.46,252.51,246.58,7165000
01 May 2025,242.84,248.45,242.17,246.89,241.09,8689600
30 Apr 2025,241.21,245.22,238.43,244.62,238.88,12991700
29 Apr 2025,242.19,245.25,241.69,244.62,238.88,7216800
28 Apr 2025,244.56,246.84,240.84,243.22,237.51,7394300
25 Apr 2025,244.65,245.62,241.75,243.55,237.83,8588600
24 Apr 2025,239.74,245.47,237.58,244.64,238.90,9055200
23 Apr 2025,240.22,246.79,240.00,240.88,235.23,14126800
22 Apr 2025,231.98,235.99,231.37,235.59,230.06,10701400
21 Apr 2025,230.63,231.81,226.34,228.99,223.61,8716200
17 Apr 2025,230.80,234.34,230.55,231.96,226.51,9557900
16 Apr 2025,232.00,233.58,227.93,229.61,224.22,9322300
15 Apr 2025,236.10,238.65,232.82,233.13,227.66,10912900
14 Apr 2025,237.10,239.78,233.63,234.72,229.21,13017800
11 Apr 2025,226.31,238.58,225.00,236.20,230.65,20284500
10 Apr 2025,230.00,230.35,220.10,227.11,221.78,18896400
